ENTITY,DATE,PRICE
MICROSOFT CORP,1/3/2006,26.84000015
MICROSOFT CORP,1/4/2006,26.96999931
MICROSOFT CORP,1/5/2006,26.98999977
MICROSOFT CORP,1/6/2006,26.90999985
MICROSOFT CORP,1/9/2006,26.86000061
MICROSOFT CORP,1/10/2006,27
MICROSOFT CORP,1/11/2006,27.29000092
MICROSOFT CORP,1/12/2006,27.13999939
MICROSOFT CORP,1/13/2006,27.19000053
MICROSOFT CORP,1/17/2006,26.98999977
MICROSOFT CORP,1/18/2006,26.82999992
MICROSOFT CORP,1/19/2006,27.02000046
MICROSOFT CORP,1/20/2006,26.40999985
MICROSOFT CORP,1/23/2006,26.35000038
MICROSOFT CORP,1/24/2006,26.28000069
MICROSOFT CORP,1/25/2006,26.39999962
MICROSOFT CORP,1/26/2006,26.5
MICROSOFT CORP,1/27/2006,27.79000092
MICROSOFT CORP,1/30/2006,28
MICROSOFT CORP,1/31/2006,28.14999962
MICROSOFT CORP,2/1/2006,28.04000092
MICROSOFT CORP,2/2/2006,27.68000031
MICROSOFT CORP,2/3/2006,27.54000092
MICROSOFT CORP,2/6/2006,27.17000008
MICROSOFT CORP,2/7/2006,26.94000053
MICROSOFT CORP,2/8/2006,26.90999985
MICROSOFT CORP,2/9/2006,26.65999985
MICROSOFT CORP,2/10/2006,26.69000053
MICROSOFT CORP,2/13/2006,26.38999939
MICROSOFT CORP,2/14/2006,26.64999962
MICROSOFT CORP,2/15/2006,26.87999916
MICROSOFT CORP,2/16/2006,26.80999947
MICROSOFT CORP,2/17/2006,26.70000076
MICROSOFT CORP,2/21/2006,26.54000092
MICROSOFT CORP,2/22/2006,26.71999931
MICROSOFT CORP,2/23/2006,26.65999985
MICROSOFT CORP,2/24/2006,26.62999916
MICROSOFT CORP,2/27/2006,27.04999924
MICROSOFT CORP,2/28/2006,26.87000084
MICROSOFT CORP,3/1/2006,27.13999939
MICROSOFT CORP,3/2/2006,26.96999931
MICROSOFT CORP,3/3/2006,26.93000031
MICROSOFT CORP,3/6/2006,26.90999985
MICROSOFT CORP,3/7/2006,27.05999947
MICROSOFT CORP,3/8/2006,27.25
MICROSOFT CORP,3/9/2006,27
MICROSOFT CORP,3/10/2006,27.17000008
MICROSOFT CORP,3/13/2006,27.11000061
MICROSOFT CORP,3/14/2006,27.22999954
MICROSOFT CORP,3/15/2006,27.36000061
MICROSOFT CORP,3/16/2006,27.27000046
MICROSOFT CORP,3/17/2006,27.5
MICROSOFT CORP,3/20/2006,27.88999939
MICROSOFT CORP,3/21/2006,27.73999977
MICROSOFT CORP,3/22/2006,27.14999962
MICROSOFT CORP,3/23/2006,26.85000038
MICROSOFT CORP,3/24/2006,27.01000023
MICROSOFT CORP,3/27/2006,27.01000023
MICROSOFT CORP,3/28/2006,26.89999962
MICROSOFT CORP,3/29/2006,27.02000046
MICROSOFT CORP,3/30/2006,27.22999954
MICROSOFT CORP,3/31/2006,27.20999908
MICROSOFT CORP,4/3/2006,27.55999947
MICROSOFT CORP,4/4/2006,27.63999939
MICROSOFT CORP,4/5/2006,27.73999977
MICROSOFT CORP,4/6/2006,27.55999947
MICROSOFT CORP,4/7/2006,27.25
MICROSOFT CORP,4/10/2006,27.29000092
MICROSOFT CORP,4/11/2006,27.12999916
MICROSOFT CORP,4/12/2006,27.20000076
MICROSOFT CORP,4/13/2006,27.06999969
MICROSOFT CORP,4/17/2006,26.84000015
MICROSOFT CORP,4/18/2006,27.21999931
MICROSOFT CORP,4/19/2006,27.03000069
MICROSOFT CORP,4/20/2006,27.03000069
MICROSOFT CORP,4/21/2006,27.14999962
MICROSOFT CORP,4/24/2006,27.11000061
MICROSOFT CORP,4/25/2006,27.11000061
MICROSOFT CORP,4/26/2006,27.10000038
MICROSOFT CORP,4/27/2006,27.25
MICROSOFT CORP,4/28/2006,24.14999962
MICROSOFT CORP,5/1/2006,24.29000092
MICROSOFT CORP,5/2/2006,24.01000023
MICROSOFT CORP,5/3/2006,23.17000008
MICROSOFT CORP,5/4/2006,23.44000053
MICROSOFT CORP,5/5/2006,23.79999924
MICROSOFT CORP,5/8/2006,23.72999954
MICROSOFT CORP,5/9/2006,23.62000084
MICROSOFT CORP,5/10/2006,23.77000046
MICROSOFT CORP,5/11/2006,23.21999931
MICROSOFT CORP,5/12/2006,23.17000008
MICROSOFT CORP,5/15/2006,23.14999962
MICROSOFT CORP,5/16/2006,23.01000023
MICROSOFT CORP,5/17/2006,22.72999954
MICROSOFT CORP,5/18/2006,22.82999992
MICROSOFT CORP,5/19/2006,22.55999947
MICROSOFT CORP,5/22/2006,22.87999916
MICROSOFT CORP,5/23/2006,22.79000092
MICROSOFT CORP,5/24/2006,23.5
MICROSOFT CORP,5/25/2006,23.73999977
MICROSOFT CORP,5/26/2006,23.71999931
MICROSOFT CORP,5/30/2006,23.14999962
MICROSOFT CORP,5/31/2006,22.64999962
MICROSOFT CORP,6/1/2006,22.81999969
MICROSOFT CORP,6/2/2006,22.76000023
MICROSOFT CORP,6/5/2006,22.5
MICROSOFT CORP,6/6/2006,22.12999916
MICROSOFT CORP,6/7/2006,22.04000092
MICROSOFT CORP,6/8/2006,22.11000061
MICROSOFT CORP,6/9/2006,21.92000008
MICROSOFT CORP,6/12/2006,21.70999908
MICROSOFT CORP,6/13/2006,21.51000023
MICROSOFT CORP,6/14/2006,21.87999916
MICROSOFT CORP,6/15/2006,22.06999969
MICROSOFT CORP,6/16/2006,22.10000038
MICROSOFT CORP,6/19/2006,22.54999924
MICROSOFT CORP,6/20/2006,22.55999947
MICROSOFT CORP,6/21/2006,23.07999992
MICROSOFT CORP,6/22/2006,22.87999916
MICROSOFT CORP,6/23/2006,22.5
MICROSOFT CORP,6/26/2006,22.81999969
MICROSOFT CORP,6/27/2006,22.86000061
MICROSOFT CORP,6/28/2006,23.15999985
MICROSOFT CORP,6/29/2006,23.47019958
MICROSOFT CORP,6/30/2006,23.29999924
MICROSOFT CORP,7/3/2006,23.70000076
MICROSOFT CORP,7/5/2006,23.35000038
MICROSOFT CORP,7/6/2006,23.47999954
MICROSOFT CORP,7/7/2006,23.29999924
MICROSOFT CORP,7/10/2006,23.5
MICROSOFT CORP,7/11/2006,23.10000038
MICROSOFT CORP,7/12/2006,22.63999939
