ENTITY,DATE,Adjprc
UNISYS CORP,1/2/2008,45.79998779
UNISYS CORP,1/3/2008,44.09998703
UNISYS CORP,1/4/2008,39.69998932
UNISYS CORP,1/7/2008,38.79999161
UNISYS CORP,1/8/2008,37.49999237
UNISYS CORP,1/9/2008,32.29999161
UNISYS CORP,1/10/2008,35.99999237
UNISYS CORP,1/11/2008,35.99999237
UNISYS CORP,1/14/2008,35.69998932
UNISYS CORP,1/15/2008,34.09999084
UNISYS CORP,1/16/2008,35.39999008
UNISYS CORP,1/17/2008,35.39999008
UNISYS CORP,1/18/2008,34.99999237
UNISYS CORP,1/22/2008,33.99999237
UNISYS CORP,1/23/2008,34.59999084
UNISYS CORP,1/24/2008,33.8999939
UNISYS CORP,1/25/2008,35.09999084
UNISYS CORP,1/28/2008,34.3999939
UNISYS CORP,1/29/2008,39.59999084
UNISYS CORP,1/30/2008,41.99998856
UNISYS CORP,1/31/2008,41.19998932
UNISYS CORP,2/1/2008,43.09999084
UNISYS CORP,2/4/2008,41.09999084
UNISYS CORP,2/5/2008,41.59998703
UNISYS CORP,2/6/2008,40.79998779
UNISYS CORP,2/7/2008,41.19998932
UNISYS CORP,2/8/2008,40.09999084
UNISYS CORP,2/11/2008,41.09999084
UNISYS CORP,2/12/2008,40.39999008
UNISYS CORP,2/13/2008,42.09999084
UNISYS CORP,2/14/2008,40.99998856
UNISYS CORP,2/15/2008,40.59999084
UNISYS CORP,2/19/2008,42.89999008
UNISYS CORP,2/20/2008,41.59998703
UNISYS CORP,2/21/2008,41.99998856
UNISYS CORP,2/22/2008,41.59998703
UNISYS CORP,2/25/2008,43.59999084
UNISYS CORP,2/26/2008,43.89999008
UNISYS CORP,2/27/2008,45.09999084
UNISYS CORP,2/28/2008,42.69998932
UNISYS CORP,2/29/2008,41.29999161
UNISYS CORP,3/3/2008,41.39999008
UNISYS CORP,3/4/2008,40.89999008
UNISYS CORP,3/5/2008,42.29999161
UNISYS CORP,3/6/2008,40.39999008
UNISYS CORP,3/7/2008,39.59999084
UNISYS CORP,3/10/2008,39.79999161
UNISYS CORP,3/11/2008,42.49998856
UNISYS CORP,3/12/2008,43.09999084
UNISYS CORP,3/13/2008,42.79999161
UNISYS CORP,3/14/2008,41.19998932
UNISYS CORP,3/17/2008,38.69998932
UNISYS CORP,3/18/2008,42.99999237
UNISYS CORP,3/19/2008,41.39999008
UNISYS CORP,3/20/2008,42.49998856
UNISYS CORP,3/24/2008,46.09999084
UNISYS CORP,3/25/2008,46.99998856
UNISYS CORP,3/26/2008,45.59998703
UNISYS CORP,3/27/2008,43.09999084
UNISYS CORP,3/28/2008,43.39999008
UNISYS CORP,3/31/2008,44.29998779
UNISYS CORP,4/1/2008,47.1999855
UNISYS CORP,4/2/2008,44.79998779
UNISYS CORP,4/3/2008,46.19998932
UNISYS CORP,4/4/2008,46.59998703
UNISYS CORP,4/7/2008,46.19998932
UNISYS CORP,4/8/2008,45.99998856
UNISYS CORP,4/9/2008,44.79998779
UNISYS CORP,4/10/2008,46.29999161
UNISYS CORP,4/11/2008,43.59999084
UNISYS CORP,4/14/2008,44.99998856
UNISYS CORP,4/15/2008,43.99999237
UNISYS CORP,4/16/2008,45.09999084
UNISYS CORP,4/17/2008,44.29998779
UNISYS CORP,4/18/2008,46.19998932
UNISYS CORP,4/21/2008,48.79998779
UNISYS CORP,4/22/2008,47.89999008
UNISYS CORP,4/23/2008,47.29998779
UNISYS CORP,4/24/2008,48.09998703
UNISYS CORP,4/25/2008,50.39998627
UNISYS CORP,4/28/2008,49.6999855
UNISYS CORP,4/29/2008,47.49998856
UNISYS CORP,4/30/2008,41.59998703
UNISYS CORP,5/1/2008,42.09999084
UNISYS CORP,5/2/2008,40.89999008
UNISYS CORP,5/5/2008,41.09999084
UNISYS CORP,5/6/2008,41.69998932
UNISYS CORP,5/7/2008,41.39999008
UNISYS CORP,5/8/2008,39.99999237
UNISYS CORP,5/9/2008,40.39999008
UNISYS CORP,5/12/2008,42.09999084
UNISYS CORP,5/13/2008,42.49998856
UNISYS CORP,5/14/2008,42.49998856
UNISYS CORP,5/15/2008,42.89999008
UNISYS CORP,5/16/2008,43.09999084
UNISYS CORP,5/19/2008,43.49998856
UNISYS CORP,5/20/2008,44.49998856
UNISYS CORP,5/21/2008,45.49999237
UNISYS CORP,5/22/2008,46.69998932
UNISYS CORP,5/23/2008,45.79998779
UNISYS CORP,5/27/2008,46.39998627
UNISYS CORP,5/28/2008,47.49998856
UNISYS CORP,5/29/2008,49.19998932
UNISYS CORP,5/30/2008,50.59998703
UNISYS CORP,6/2/2008,48.19998932
UNISYS CORP,6/3/2008,47.59999084
UNISYS CORP,6/4/2008,48.49998856
UNISYS CORP,6/5/2008,49.49998474
UNISYS CORP,6/6/2008,47.09999084
UNISYS CORP,6/9/2008,46.39998627
UNISYS CORP,6/10/2008,45.19998932
UNISYS CORP,6/11/2008,43.89999008
UNISYS CORP,6/12/2008,44.49998856
UNISYS CORP,6/13/2008,45.99998856
UNISYS CORP,6/16/2008,46.59998703
UNISYS CORP,6/17/2008,45.29999161
UNISYS CORP,6/18/2008,44.49998856
UNISYS CORP,6/19/2008,44.6999855
UNISYS CORP,6/20/2008,42.49998856
UNISYS CORP,6/23/2008,42.19998932
UNISYS CORP,6/24/2008,42.29999161
UNISYS CORP,6/25/2008,41.99998856
UNISYS CORP,6/26/2008,40.29999161
UNISYS CORP,6/27/2008,40.19998932
UNISYS CORP,6/30/2008,39.49999237
UNISYS CORP,7/1/2008,38.49998856
UNISYS CORP,7/2/2008,35.39999008
UNISYS CORP,7/3/2008,36.49999237
UNISYS CORP,7/7/2008,36.29999161
UNISYS CORP,7/8/2008,37.59999084
UNISYS CORP,7/9/2008,36.79999161
UNISYS CORP,7/10/2008,36.59999084
UNISYS CORP,7/11/2008,34.99999237
UNISYS CORP,7/14/2008,33.99999237
UNISYS CORP,7/15/2008,33.79999161
UNISYS CORP,7/16/2008,37.89999008
UNISYS CORP,7/17/2008,38.69998932
UNISYS CORP,7/18/2008,40.79998779
UNISYS CORP,7/21/2008,41.59998703
UNISYS CORP,7/22/2008,41.79998779
UNISYS CORP,7/23/2008,38.09999084
UNISYS CORP,7/24/2008,34.69999313
UNISYS CORP,7/25/2008,34.59999084
UNISYS CORP,7/28/2008,33.8999939
UNISYS CORP,7/29/2008,35.99999237
UNISYS CORP,7/30/2008,36.69999313
UNISYS CORP,7/31/2008,36.89999008
UNISYS CORP,8/1/2008,36.59999084
UNISYS CORP,8/4/2008,36.89999008
UNISYS CORP,8/5/2008,38.19998932
UNISYS CORP,8/6/2008,39.19999313
UNISYS CORP,8/7/2008,39.29999161
UNISYS CORP,8/8/2008,41.29999161
UNISYS CORP,8/11/2008,41.79998779
UNISYS CORP,8/12/2008,41.19998932
UNISYS CORP,8/13/2008,39.99999237
UNISYS CORP,8/14/2008,41.19998932
UNISYS CORP,8/15/2008,42.09999084
UNISYS CORP,8/18/2008,39.39999008
UNISYS CORP,8/19/2008,39.29999161
UNISYS CORP,8/20/2008,38.69998932
UNISYS CORP,8/21/2008,38.79999161
UNISYS CORP,8/22/2008,39.29999161
UNISYS CORP,8/25/2008,38.49998856
UNISYS CORP,8/26/2008,38.69998932
UNISYS CORP,8/27/2008,39.99999237
UNISYS CORP,8/28/2008,41.89999008
UNISYS CORP,8/29/2008,40.89999008
